timestamp,roll,pitch,force,flex
9583.0,0.8131518697532433,0.02698812522490098,0.46153846153846156,0.5408163265306123
9583.0,0.8640295090307808,0.0,0.46153846153846156,0.5510204081632653
9583.0,0.8571610277283134,0.047499100395825784,0.46153846153846156,0.5408163265306123
9583.0,0.8510557110150088,0.08744152572867937,0.46153846153846156,0.5408163265306123
9583.0,0.845204782498092,0.12234616768621802,0.0,0.5408163265306123
9583.0,0.8404986008649198,0.15041381792011516,0.46153846153846156,0.5408163265306123
9583.0,0.8373187484100737,0.17416336811802802,0.46153846153846156,0.5408163265306123
9583.0,0.8347748664461968,0.19539402662828356,0.46153846153846156,0.5510204081632653
9583.0,0.8327397608750954,0.21842389348686572,0.46153846153846156,0.5510204081632653
9583.0,0.8303230730094123,0.24289312702410934,0.46153846153846156,0.5510204081632653
9583.0,0.82727041465276,0.2691615689096797,0.46153846153846156,0.5510204081632653
9583.0,0.8243449503943017,0.2889528607412738,0.46153846153846156,0.5510204081632653
9583.0,0.8229458153141694,0.30658510255487587,0.46153846153846156,0.5510204081632653
9583.0,0.8229458153141694,0.318100035984167,0.46153846153846156,0.5510204081632653
9583.0,0.8238361740015262,0.32493702770780847,0.46153846153846156,0.5510204081632653
9583.0,0.8248537267870769,0.33249370277078083,0.46153846153846156,0.5510204081632653
9583.0,0.8248537267870769,0.34328895286074124,0.46153846153846156,0.5510204081632653
9583.0,0.8242177562961078,0.3569629363080244,0.46153846153846156,0.5510204081632653
9583.0,0.8229458153141694,0.37207628643396906,0.46153846153846156,0.5408163265306123
9583.0,0.8221826507250063,0.3864699532205829,0.46153846153846156,0.5408163265306123
9583.0,0.8211650979394556,0.4008636200071968,0.46153846153846156,0.5408163265306123
9583.0,0.8202747392520986,0.41417776178481464,0.46153846153846156,0.5408163265306123
9583.0,0.8196387687611294,0.42605253688377115,0.46153846153846156,0.5408163265306123
9583.0,0.8193843805647417,0.43468873695573945,0.46153846153846156,0.5408163265306123
9583.0,0.8204019333502925,0.43936667866138895,0.46153846153846156,0.5408163265306123
9583.0,0.822437038921394,0.4440446203670385,0.46153846153846156,0.5408163265306123
9583.0,0.8245993385906893,0.4480028787333573,0.46153846153846156,0.5408163265306123
9583.0,0.825744085474434,0.4508816120906801,0.46153846153846156,0.5408163265306123
9583.0,0.8262528618672093,0.45555955379632956,0.46153846153846156,0.5408163265306123
9583.0,0.8265072500635968,0.4602374955019791,0.46153846153846156,0.5408163265306123
